,NODE_ID,geometry,LATITUDE,LONGITUDE
0,STATION1,POINT (-102.74559475600036 34.59608683900012),34.59608683900012,-102.74559475600036
1,STATION2,POINT (-98.75472553900026 32.469764581999996),32.469764581999996,-98.75472553900026
2,STATION3,POINT (-102.72781620500002 34.607421617000114),34.607421617000114,-102.72781620500002
3,STATION4,POINT (-96.33587899999984 30.630532000000134),30.630532000000134,-96.33587899999984
4,STATION5,POINT (-94.44947625400032 32.42877666399999),32.42877666399999,-94.44947625400032
5,STATION6,POINT (-102.2045470999996 31.907321958000136),31.907321958000136,-102.2045470999996
6,STATION7,POINT (-101.28111426399967 32.08661290300013),32.08661290300013,-101.28111426399967
7,STATION8,POINT (-98.4382168250004 33.913740316),33.913740316,-98.4382168250004
8,STATION9,POINT (-100.38530806800038 31.488203094000017),31.488203094000017,-100.38530806800038
9,STATION10,POINT (-101.59523814299978 33.188818351000116),33.188818351000116,-101.59523814299978
10,STATION11,POINT (-97.0431313329997 28.519540099999954),28.519540099999954,-97.0431313329997
11,STATION12,POINT (-101.38217082600005 35.2511990410001),35.2511990410001,-101.38217082600005
12,STATION13,POINT (-96.23453542299993 33.14157515700002),33.14157515700002,-96.23453542299993
13,STATION14,POINT (-96.46406778200028 30.651115785999952),30.651115785999952,-96.46406778200028
14,STATION15,POINT (-99.78253917000023 32.3944711420001),32.3944711420001,-99.78253917000023
15,STATION16,POINT (-99.16419999999964 26.55750000000009),26.55750000000009,-99.16419999999964
16,STATION17,POINT (-101.86213296599959 33.73705323399999),33.73705323399999,-101.86213296599959
17,STATION18,POINT (-101.81347364900039 35.105526993000055),35.105526993000055,-101.81347364900039
18,STATION19,POINT (-102.32813318699984 33.84837808700009),33.84837808700009,-102.32813318699984
19,STATION20,POINT (-93.90380491599981 29.933635665000033),29.933635665000033,-93.90380491599981
20,STATION21,POINT (-97.5958100000002 27.81108000000007),27.81108000000007,-97.5958100000002
21,STATION22,POINT (-98.19496611999955 29.87052165799996),29.87052165799996,-98.19496611999955
22,STATION23,POINT (-102.22952681199958 31.935620760999964),31.935620760999964,-102.22952681199958
23,STATION24,POINT (-94.49093255299985 33.2231590960001),33.2231590960001,-94.49093255299985
24,STATION25,POINT (-102.44744603400041 33.78605113300013),33.78605113300013,-102.44744603400041
25,STATION26,POINT (-102.33517890700008 31.839672100000023),31.839672100000023,-102.33517890700008
26,STATION27,POINT (-96.79648122000027 28.535008881000103),28.535008881000103,-96.79648122000027
27,STATION28,POINT (-95.15410710099967 29.81863226100013),29.81863226100013,-95.15410710099967
28,STATION29,POINT (-96.59369561999945 33.31603800400006),33.31603800400006,-96.59369561999945
29,STATION30,POINT (-101.30834912099995 32.303905403),32.303905403,-101.30834912099995
30,STATION31,POINT (-102.61132606899966 33.18220867700006),33.18220867700006,-102.61132606899966
31,STATION32,POINT (-98.26037968899998 33.83403492199997),33.83403492199997,-98.26037968899998
32,STATION33,POINT (-101.86231777200035 33.78103320200008),33.78103320200008,-101.86231777200035
33,STATION34,POINT (-100.4918055610002 31.40324894700011),31.40324894700011,-100.4918055610002
34,STATION35,POINT (-95.80318912699978 33.1846435470001),33.1846435470001,-95.80318912699978
35,STATION36,POINT (-94.05985200000023 29.982008000000082),29.982008000000082,-94.05985200000023
36,STATION37,POINT (-94.41168760499984 33.05969180400007),33.05969180400007,-94.41168760499984
37,STATION38,POINT (-94.73186241200007 32.351943380000066),32.351943380000066,-94.73186241200007
38,STATION39,POINT (-103.10299300000045 31.01678299999997),31.01678299999997,-103.10299300000045
39,STATION40,POINT (-101.82106854400013 34.985450411),34.985450411,-101.82106854400013
40,STATION41,POINT (-97.44411234200014 27.811353702000112),27.811353702000112,-97.44411234200014
41,STATION42,POINT (-101.55885753800023 35.645367759000116),35.645367759000116,-101.55885753800023
42,STATION43,POINT (-101.86643114899962 35.544873521),35.544873521,-101.86643114899962
43,STATION44,POINT (-101.37285862200041 35.44305667499997),35.44305667499997,-101.37285862200041
44,STATION45,POINT (-100.07483099999993 32.44924199999996),32.44924199999996,-100.07483099999993
45,STATION46,POINT (-95.08880272600032 29.69208016800012),29.69208016800012,-95.08880272600032
46,STATION47,POINT (-101.78963023499996 32.69233265900002),32.69233265900002,-101.78963023499996
47,STATION48,POINT (-102.52823345400039 31.798105455000012),31.798105455000012,-102.52823345400039
48,STATION49,POINT (-101.46105052800034 31.060066646000116),31.060066646000116,-101.46105052800034
49,STATION50,POINT (-100.45075822100037 31.36230765599997),31.36230765599997,-100.45075822100037
50,STATION51,POINT (-99.09209035700005 28.927595178000093),28.927595178000093,-99.09209035700005
51,STATION52,POINT (-99.09240888399967 28.927422020999998),28.927422020999998,-99.09240888399967
52,STATION53,POINT (-96.84907220400031 32.81275507000001),32.81275507000001,-96.84907220400031
53,STATION54,POINT (-97.64152406399955 26.141980599000068),26.141980599000068,-97.64152406399955
54,STATION55,POINT (-97.64175129199998 26.142250028999992),26.142250028999992,-97.64175129199998
55,STATION56,POINT (-102.81730939100014 32.9640448530001),32.9640448530001,-102.81730939100014
56,STATION57,POINT (-99.67514041200013 34.05542326300013),34.05542326300013,-99.67514041200013
57,STATION58,POINT (-102.37046193599986 36.02628244600001),36.02628244600001,-102.37046193599986
58,STATION59,POINT (-95.48550178300022 29.968174117999972),29.968174117999972,-95.48550178300022
59,STATION60,POINT (-95.02627401000011 29.537898320000096),29.537898320000096,-95.02627401000011
60,STATION61,POINT (-95.27273270000032 29.776250257000097),29.776250257000097,-95.27273270000032
61,STATION62,POINT (-100.55205582400002 28.829740048000076),28.829740048000076,-100.55205582400002
62,STATION63,POINT (-100.55540759500025 31.004925617000026),31.004925617000026,-100.55540759500025
63,STATION64,POINT (-100.36057111200033 32.489024347000075),32.489024347000075,-100.36057111200033
64,STATION65,POINT (-93.88812873999986 30.078243205999996),30.078243205999996,-93.88812873999986
65,STATION66,POINT (-100.32644645800013 31.653950160000118),31.653950160000118,-100.32644645800013
66,STATION67,POINT (-95.0606817339998 32.274016737000075),32.274016737000075,-95.0606817339998
67,STATION68,POINT (-102.36544921800032 32.85686804100002),32.85686804100002,-102.36544921800032
68,STATION69,POINT (-102.4109932739996 33.51031330800003),33.51031330800003,-102.4109932739996
69,STATION70,POINT (-99.69976628299958 32.488652604999984),32.488652604999984,-99.69976628299958
70,STATION71,POINT (-95.2289291919996 29.747455811000105),29.747455811000105,-95.2289291919996
71,STATION72,POINT (-97.18696729700025 32.850896517000024),32.850896517000024,-97.18696729700025
72,STATION73,POINT (-101.70170728199997 35.81093433100006),35.81093433100006,-101.70170728199997
73,STATION74,POINT (-100.27454314600034 32.017023852000136),32.017023852000136,-100.27454314600034
74,STATION75,POINT (-94.58328369100037 30.433055192000037),30.433055192000037,-94.58328369100037
75,STATION76,POINT (-102.9728541399997 34.452871791000085),34.452871791000085,-102.9728541399997
76,STATION77,POINT (-93.74914200000002 30.058473),30.058473,-93.74914200000002
77,STATION78,POINT (-95.28300539999967 29.667152521000126),29.667152521000126,-95.28300539999967
78,STATION79,POINT (-95.48279716599959 29.816477405000093),29.816477405000093,-95.48279716599959
79,STATION80,POINT (-95.91396230100037 32.971706619),32.971706619,-95.91396230100037
80,STATION81,POINT (-95.11162532899999 29.876621048999997),29.876621048999997,-95.11162532899999
81,STATION82,POINT (-101.78824392999981 32.59486233299997),32.59486233299997,-101.78824392999981
82,STATION83,POINT (-98.36009280499971 30.285100179000032),30.285100179000032,-98.36009280499971
83,STATION84,POINT (-95.35259360799988 29.627871550000123),29.627871550000123,-95.35259360799988
84,STATION85,POINT (-94.0684890000004 30.055973999999964),30.055973999999964,-94.0684890000004
85,STATION86,POINT (-94.1635089999997 31.682051000000072),31.682051000000072,-94.1635089999997
86,STATION87,POINT (-94.72322778100013 32.92149722400009),32.92149722400009,-94.72322778100013
87,STATION88,POINT (-101.46316500000002 36.49264700000003),36.49264700000003,-101.46316500000002
88,STATION89,POINT (-102.8843011299998 30.889357039000096),30.889357039000096,-102.8843011299998
89,STATION90,POINT (-94.47580533899985 33.36883027300011),33.36883027300011,-94.47580533899985
90,STATION91,POINT (-94.03840100000028 31.959766999999985),31.959766999999985,-94.03840100000028
91,STATION92,POINT (-97.7696840370001 33.22868926300001),33.22868926300001,-97.7696840370001
92,STATION93,POINT (-101.51838270100005 35.4853008480001),35.4853008480001,-101.51838270100005
93,STATION94,POINT (-94.7136298609999 32.26040375799998),32.26040375799998,-94.7136298609999
94,STATION95,POINT (-96.18020300000015 31.710096000000107),31.710096000000107,-96.18020300000015
95,STATION96,POINT (-102.80094306900011 33.22636055700011),33.22636055700011,-102.80094306900011
96,STATION97,POINT (-101.48208839500019 31.99463285399999),31.99463285399999,-101.48208839500019
97,STATION98,POINT (-95.48292502300018 29.816092869000006),29.816092869000006,-95.48292502300018
98,STATION99,POINT (-97.15856159300029 32.81123655900008),32.81123655900008,-97.15856159300029
99,STATION100,POINT (-101.14954199999966 32.62855300000012),32.62855300000012,-101.14954199999966
100,STATION101,POINT (-101.9561902709997 33.614075858999996),33.614075858999996,-101.9561902709997
